id,evaluationsId,url,title,extra_null_column
60,9,https://3.16.38.71/sicid/#/news-and-events/events/events-editor/inscription/event-inscriptions/1/1,"GE_012 GE_013"
61,9,https://3.16.38.71/sicid/#/news-and-events/events/events-editor/users/broadcast/subscribers/list,GE_016
62,5,https://3.16.38.71/sicid/#/catalog/page-dashboard/item/views-report/1,CA_016
63,5,https://3.16.38.71/sicid/#/catalog/page-dashboard/item/views-report/2,CA_017
64,5,https://3.16.38.71/sicid/#/catalog/page-dashboard/item/views-report/3,CA_018
65,9,https://3.16.38.71/sicid/#/news-and-events/events/events-editor/users/broadcast/subscribers/3/22,"GE_016, GE_017"
66,3,https://3.16.38.71/sicid/#/statistics/inquest/admin/register/2,END_AD_001
67,11,https://3.16.38.71/sicid/#/certifications/dashboard/applicant/wizard/1/request/first-step,"CERT_SO_002, CERT_SO_003"
68,3,https://3.16.38.71/sicid/#/statistics/inquest/admin/inquest/2/2,END_AD_002
69,4,https://3.16.38.71/sicid/#/catalog/page-consultant-ong,ONG_CO_001
70,9,https://3.16.38.71/sicid/#/news-and-events/events/events-editor/users/broadcast/create-broadcast-lists/create,GE_018
71,9,https://3.16.38.71/sicid/#/news-and-events/events/events-editor/users/broadcast/show-broadcast-lists,"GE_019,GE_021"
72,4,https://3.16.38.71/sicid/#/catalog/page-dashboard/organizations/organization-create/54,"ONG_ED_001, ONG_ED_002"
73,4,https://3.16.38.71/sicid/#/catalog/page-dashboard/organizations/organization-reports/1,ONG_AD_002
74,9,https://3.16.38.71/sicid/#/news-and-events/events/events-editor/users/broadcast/create-broadcast-lists/3/10,GE_020
75,9,https://3.16.38.71/sicid/#/news-and-events/events/events-editor/events-inquiries,"GE_025,GE_026"
76,4,https://3.16.38.71/sicid/#/catalog/page-dashboard/organizations/organization-reports/3,ONG_AD_003
77,9,https://3.16.38.71/sicid/#/news-and-events/events/events-editor/show-finalized-events,"GE_027,GE_028"
78,9,https://3.16.38.71/sicid/#/news-and-events/events/administrator/events/list-events-administrator,"GE_029,GE_030,GE_31,GE_032"
79,4,https://3.16.38.71/sicid/#/catalog/page-dashboard/organizations/organization-reports/2,ONG_AD_004
80,9,https://3.16.38.71/sicid/#/news-and-events/events/administrator/broadcast/show-broadcast-lists,"GE_033,GE_036"
81,9,https://3.16.38.71/sicid/#/news-and-events/events/administrator/broadcast/details-broadcast-list/3/10,"GE_034,GE_035"
82,3,https://3.16.38.71/sicid/#/statistics/inquest/admin/edit-inquest/2,END_AD_003
83,9,https://3.16.38.71/sicid/#/news-and-events/events/administrator/list-published-events,"GE_037,GE_038,GE_039"
84,9,https://3.16.38.71/sicid/#/news-and-events/events/administrator/events/reports/visits-by-events,GE_040
